epiweek,end_date,region,fips,covid_hospitalizations,flu_hospitalizations,doctor_visits,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,percent_ili,ilitotal,num_of_providers,total_patients,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
202114,2021-04-10,US,US,38787,410,,3.63,0.23857142857142857,3.812857142857143,1.4728571428571429,3.9314285714285715,4.468571428571429,2.73,3.8528571428571428,0.7142857142857143,1.2228571428571429,1.5742857142857143,0.25857142857142856,0.18571428571428572,1.06101,18100,3277,1679101,31520,10,14,0.0761421,0.0317259,0.0444162
202115,2021-04-17,US,US,39864,421,,3.652857142857143,0.22285714285714286,3.8771428571428572,1.4714285714285715,4.07,4.518571428571429,2.7685714285714282,3.934285714285714,0.7314285714285714,1.2771428571428571,1.624285714285714,0.25285714285714284,0.18857142857142858,1.08091,19165,3282,1728295,30238,8,13,0.069449,0.0264568,0.0429923
202116,2021-04-24,US,US,37753,503,,3.6228571428571428,0.22,3.988571428571429,1.5442857142857143,4.107142857142857,4.598571428571428,2.7785714285714285,3.947142857142857,0.7257142857142858,1.2757142857142856,1.6400000000000001,0.2571428571428572,0.19,1.10326,19305,3248,1678407,30568,12,16,0.0915991,0.0392567,0.0523423
202117,2021-05-01,US,US,34216,441,,3.607142857142857,0.22142857142857145,4.005714285714285,1.56,4.1,4.5442857142857145,2.761428571428571,3.934285714285714,0.7142857142857143,1.2414285714285713,1.6285714285714286,0.2571428571428572,0.18714285714285714,1.13361,20099,3256,1698411,31247,16,10,0.083208,0.0512049,0.0320031
202118,2021-05-08,US,US,30793,353,,3.4699999999999998,0.19999999999999998,3.942857142857143,1.5457142857142858,3.9699999999999998,4.387142857142857,2.75,3.9057142857142857,0.6842857142857143,1.2214285714285715,1.5857142857142856,0.24571428571428572,0.17714285714285713,1.14992,19930,3227,1648268,30176,10,15,0.0828473,0.0331389,0.0497084
202119,2021-05-15,US,US,26272,300,,3.367142857142857,0.18285714285714286,4.061428571428571,1.6057142857142856,3.8728571428571428,4.362857142857143,2.71,3.914285714285714,0.6614285714285714,1.1871428571428573,1.5742857142857143,0.23857142857142857,0.1742857142857143,1.19092,20367,3214,1623366,29035,17,13,0.103324,0.05855,0.0447735
202120,2021-05-22,US,US,23039,325,,3.2714285714285714,0.17285714285714285,4.114285714285715,1.6199999999999999,3.8428571428571425,4.355714285714286,2.7028571428571433,3.9642857142857144,0.6685714285714285,1.1828571428571428,1.602857142857143,0.23857142857142857,0.1757142857142857,1.24677,21262,3193,1683010,28416,23,20,0.151323,0.0809403,0.0703829
202121,2021-05-29,US,US,20479,291,,3.15,0.14857142857142858,4.091428571428572,1.6199999999999999,3.832857142857143,4.292857142857143,2.685714285714286,3.9971428571428573,0.6528571428571429,1.2014285714285715,1.6214285714285714,0.22999999999999998,0.1757142857142857,1.14504,19675,3141,1652047,24574,14,23,0.150566,0.0569708,0.0935949
202122,2021-06-05,US,US,16683,283,,3.16,0.1442857142857143,4.134285714285714,1.6771428571428573,3.8442857142857143,4.248571428571429,2.834285714285714,4.072857142857143,0.6471428571428571,1.2157142857142857,1.637142857142857,0.21857142857142858,0.16999999999999998,1.18454,20143,3140,1609033,23886,7,15,0.0921042,0.0293059,0.0627983
202123,2021-06-12,US,US,14938,269,,3.105714285714286,0.14285714285714285,4.144285714285714,1.68,3.9457142857142853,4.304285714285714,2.7485714285714287,4.152857142857143,0.6585714285714286,1.3271428571428572,1.6771428571428573,0.22428571428571428,0.1742857142857143,1.12943,19182,3110,1674977,25258,8,18,0.102938,0.0316731,0.0712645
